State,Year,AverageTemperature
Australian Capital Territory,1990,12.200833333333334
Australian Capital Territory,1991,12.324416666666666
Australian Capital Territory,1992,11.296999999999999
Australian Capital Territory,1993,11.940916666666666
Australian Capital Territory,1994,11.710416666666667
Australian Capital Territory,1995,11.494
Australian Capital Territory,1996,11.391333333333334
Australian Capital Territory,1997,12.230583333333334
Australian Capital Territory,1998,12.558916666666667
Australian Capital Territory,1999,12.184583333333334
Australian Capital Territory,2000,12.178333333333333
Australian Capital Territory,2001,12.379583333333334
Australian Capital Territory,2002,12.40475
Australian Capital Territory,2003,12.323500000000001
Australian Capital Territory,2004,12.4585
Australian Capital Territory,2005,12.588000000000001
Australian Capital Territory,2006,12.613583333333333
Australian Capital Territory,2007,12.924916666666666
Australian Capital Territory,2008,12.093583333333333
Australian Capital Territory,2009,12.971416666666665
Australian Capital Territory,2010,12.467083333333333
Australian Capital Territory,2011,12.251666666666665
Australian Capital Territory,2012,11.886166666666666
New South Wales,1990,17.901416666666666
New South Wales,1991,18.057416666666665
New South Wales,1992,17.002916666666668
New South Wales,1993,17.74625
New South Wales,1994,17.559
New South Wales,1995,17.37275
New South Wales,1996,17.283583333333333
New South Wales,1997,17.97308333333333
New South Wales,1998,17.914833333333334
New South Wales,1999,17.71741666666667
New South Wales,2000,17.711583333333333
New South Wales,2001,17.910416666666666
New South Wales,2002,18.325083333333335
New South Wales,2003,18.048916666666667
New South Wales,2004,18.035083333333333
New South Wales,2005,18.44425
New South Wales,2006,18.334
New South Wales,2007,18.553083333333333
New South Wales,2008,17.666833333333333
New South Wales,2009,18.777333333333335
New South Wales,2010,17.60441666666667
New South Wales,2011,17.75541666666667
New South Wales,2012,17.600333333333335
Northern Territory,1990,25.893333333333334
Northern Territory,1991,25.472083333333334
Northern Territory,1992,25.793000000000003
Northern Territory,1993,25.387416666666667
Northern Territory,1994,24.837
Northern Territory,1995,25.276583333333335
Northern Territory,1996,25.766499999999997
Northern Territory,1997,25.080583333333333
Northern Territory,1998,26.202
Northern Territory,1999,25.178416666666667
Northern Territory,2000,24.53233333333333
Northern Territory,2001,24.520750000000003
Northern Territory,2002,25.38525
Northern Territory,2003,25.444333333333333
Northern Territory,2004,25.306833333333334
Northern Territory,2005,26.184083333333334
Northern Territory,2006,25.016166666666667
Northern Territory,2007,25.273333333333337
Northern Territory,2008,25.435333333333332
Northern Territory,2009,25.615166666666667
Northern Territory,2010,24.91025
Northern Territory,2011,24.210083333333333
Northern Territory,2012,24.852
Queensland,1990,23.53791666666667
Queensland,1991,23.543666666666667
Queensland,1992,23.513666666666666
Queensland,1993,23.860249999999997
Queensland,1994,23.217250000000003
Queensland,1995,23.71591666666667
Queensland,1996,23.6865
Queensland,1997,23.393
Queensland,1998,24.153750000000002
Queensland,1999,23.373833333333334
Queensland,2000,23.050250000000002
Queensland,2001,23.494083333333336
Queensland,2002,23.96166666666667
Queensland,2003,24.061083333333332
Queensland,2004,23.793583333333334
Queensland,2005,24.394416666666668
Queensland,2006,23.812916666666666
Queensland,2007,23.685916666666667
Queensland,2008,23.393916666666666
Queensland,2009,23.826000000000004
Queensland,2010,23.153000000000002
Queensland,2011,22.833166666666667
Queensland,2012,23.139916666666668
South Australia,1990,19.974416666666666
South Australia,1991,20.20075
South Australia,1992,18.981333333333332
South Australia,1993,19.76875
South Australia,1994,19.601583333333334
South Australia,1995,19.361
South Australia,1996,19.642916666666668
South Australia,1997,19.776833333333332
South Australia,1998,19.715833333333332
South Australia,1999,19.873916666666666
South Australia,2000,19.863
South Australia,2001,19.440333333333335
South Australia,2002,19.849
South Australia,2003,19.938
South Australia,2004,19.97491666666667
South Australia,2005,20.335583333333336
South Australia,2006,20.106
South Australia,2007,20.362916666666667
South Australia,2008,19.79433333333333
South Australia,2009,20.4905
South Australia,2010,19.202416666666668
South Australia,2011,19.757583333333333
South Australia,2012,19.745749999999997
Tasmania,1990,11.529166666666667
Tasmania,1991,11.115416666666667
Tasmania,1992,10.937333333333333
Tasmania,1993,11.546833333333334
Tasmania,1994,11.029083333333332
Tasmania,1995,10.668333333333335
Tasmania,1996,10.695500000000001
Tasmania,1997,11.226999999999999
Tasmania,1998,11.296750000000001
Tasmania,1999,11.867416666666665
Tasmania,2000,11.869916666666667
Tasmania,2001,11.822666666666668
Tasmania,2002,11.703416666666667
Tasmania,2003,11.6245
Tasmania,2004,11.15175
Tasmania,2005,11.865250000000001
Tasmania,2006,11.060333333333332
Tasmania,2007,12.0905
Tasmania,2008,11.398166666666667
Tasmania,2009,11.810333333333332
Tasmania,2010,11.766833333333333
Tasmania,2011,11.583166666666665
Tasmania,2012,11.78575
Victoria,1990,14.83
Victoria,1991,14.524583333333332
Victoria,1992,13.9345
Victoria,1993,14.422583333333334
Victoria,1994,14.226833333333333
Victoria,1995,13.893083333333331
Victoria,1996,13.751416666666666
Victoria,1997,14.590833333333334
Victoria,1998,14.369083333333334
Victoria,1999,14.804166666666665
Victoria,2000,14.89575
Victoria,2001,14.771749999999999
Victoria,2002,14.741333333333335
Victoria,2003,14.641833333333333
Victoria,2004,14.46275
Victoria,2005,14.895499999999998
Victoria,2006,14.722666666666667
Victoria,2007,15.52425
Victoria,2008,14.668916666666668
Victoria,2009,15.363666666666667
Victoria,2010,14.769083333333334
Victoria,2011,14.793750000000001
Victoria,2012,14.757666666666665
Western Australia,1990,23.039666666666665
Western Australia,1991,23.561000000000003
Western Australia,1992,22.598416666666665
Western Australia,1993,22.66
Western Australia,1994,23.152833333333334
Western Australia,1995,22.545583333333337
Western Australia,1996,23.364333333333335
Western Australia,1997,22.833333333333332
Western Australia,1998,23.545333333333335
Western Australia,1999,22.734333333333336
Western Australia,2000,22.21366666666667
Western Australia,2001,22.28675
Western Australia,2002,23.25766666666667
Western Australia,2003,23.160666666666668
Western Australia,2004,22.968000000000004
Western Australia,2005,23.618666666666666
Western Australia,2006,22.8715
Western Australia,2007,23.22566666666667
Western Australia,2008,23.149583333333336
Western Australia,2009,23.47083333333333
Western Australia,2010,23.37625
Western Australia,2011,22.752666666666666
Western Australia,2012,23.039416666666668
